arm,setpoint_c,gain,plane,rung,rung_pct_planned,pct_of_tsat,exptime_s,pedestal,signal,var_pair,var_pair_spread,var_single,sat_frac,R_counts,ccd_temp,n_frames,usable
a2,-20.0,50,G2,5,4.0,4.000000485730638,1.458029,64.86362767219543,166.11614108085632,31.49699327572751,0.06854338298197504,33.50939124881347,0.0,0.9003995485339394,-20.0,4,True
a2,-20.0,50,B,5,4.0,4.000000485730638,1.458029,64.86742949485779,166.8628532886505,31.273070366580335,0.1345867489233008,33.26095475419385,0.0,0.9000477124741895,-20.0,4,True
a2,-20.0,50,R,6,6.8,6.8000000027130865,2.478649,64.84630727767944,252.9746584892273,47.387070665674436,0.03174391375762298,51.620242293721034,0.0,0.9002758203935268,-20.0,4,True
a2,-20.0,50,G1,6,6.8,6.8000000027130865,2.478649,64.84258794784546,277.64927434921265,51.983513107084,0.45123495475907305,57.817902356501804,0.0,0.9013812415672586,-20.0,4,True
a2,-20.0,50,G2,6,6.8,6.8000000027130865,2.478649,64.86362767219543,277.6009337902069,52.23175127523727,0.1433227281841809,57.76748220263623,0.0,0.9003995485339394,-20.0,4,True
a2,-20.0,50,B,6,6.8,6.8000000027130865,2.478649,64.86742949485779,278.83629536628723,51.91537286379395,0.003729997134307439,57.20887724939774,0.0,0.9000477124741895,-20.0,4,True
a2,-20.0,50,R,7,11.4,11.399999601102826,4.155382,64.84630727767944,422.7769503593445,78.35685984505714,0.07963321980599858,90.06423325892848,0.0,0.9002758203935268,-20.0,4,True
a2,-20.0,50,G1,7,11.4,11.399999601102826,4.155382,64.84258794784546,464.0780234336853,87.20352801356636,0.25792194198859875,102.66599617696414,0.0,0.9013812415672586,-20.0,4,True
a2,-20.0,50,G2,7,11.4,11.399999601102826,4.155382,64.86362767219543,463.98572993278503,87.5928738658815,0.044905580285231395,102.54305858606021,0.0,0.9003995485339394,-20.0,4,True
a2,-20.0,50,B,7,11.4,11.399999601102826,4.155382,64.86742949485779,466.0207693576813,86.97730652823583,0.031298109164524135,101.72348182011656,0.0,0.9000477124741895,-20.0,4,True
a2,-20.0,50,R,8,19.2,19.199999039391074,6.998538,64.84630727767944,708.2996678352356,131.66209386171153,0.4481134895506216,163.18314732215327,0.0,0.9002758203935268,-20.0,4,True
a2,-20.0,50,G1,8,19.2,19.199999039391074,6.998538,64.84258794784546,777.8832821846008,146.62905149845136,0.07064834912367246,190.01680680315332,0.0,0.9013812415672586,-20.0,4,True
a2,-20.0,50,G2,8,19.2,19.199999039391074,6.998538,64.86362767219543,777.7572915554047,147.47723841312018,0.21288493962507005,189.36984737356426,0.0,0.9003995485339394,-20.0,4,True
a2,-20.0,50,B,8,19.2,19.199999039391074,6.998538,64.86742949485779,781.3758537769318,146.47664922320814,0.10830056026813395,188.32015693352105,0.0,0.9000477124741895,-20.0,4,True
