gain,offset,pedestal,n_pairs,R_sd,R_mad,R_err,plane_spread,R_at_offset,spatial_sd,fpn_ratio,sigmas_above_zero,zero_frac,zero_frac_gaussian
430,15,192.15782260894775,10.0,11.067888353744122,9.225537292411033,0.005660388513051277,0.12628659152444222,11.067888353744122,11.284413921833039,1.0195634037106698,17.36174204756441,1.56402587890625e-05,1.7639527190340624e-67
440,15,214.83767757415774,10.0,12.178075691818842,9.435208625163536,0.009685603947604617,0.1533524884186459,12.178075691818842,12.404907679557802,1.018626258653602,17.641348519330062,1.3446807861328126e-05,1.2253064371525646e-69
450,15,234.2695795059204,10.0,13.706758139133754,10.56219198813203,0.0077618746652358675,0.20326406768943883,13.706758139133754,13.983793544769286,1.0202115921812742,17.09153813964692,1.9216537475585936e-05,1.6027239191302842e-65
460,15,253.99321727752687,10.0,15.19808522769884,12.265770470928064,0.0145438092507009,0.20053497495466388,15.19808522769884,15.498211801052094,1.0197476569486705,16.71218534915298,2.3412704467773438e-05,9.27101953510466e-63
470,15,273.2467052459717,10.0,16.836170812221873,13.628634605864045,0.012231679479391166,0.2263510997793432,16.836170812221873,17.17960090637207,1.0203983493622488,16.22974180373686,2.8371810913085938e-05,2.5195569294026353e-59
480,15,307.23141021728514,10.0,19.36800142656014,15.725347933389084,0.018172067385611387,0.29187090460043663,19.36800142656014,19.756366896629334,1.0200519125084642,15.86283496427081,2.9754638671875003e-05,8.641058838191841e-57
490,15,330.6392868041992,10.0,21.44051727054819,16.77370392280203,0.021068517713484888,0.3355647110390798,21.44051727054819,21.879002547264097,1.0204512452373633,15.421236467012971,3.361701965332031e-05,8.451462788452715e-54
500,15,360.2997604370117,10.0,23.79322661098339,18.92283504979772,0.015754160567716443,0.34463902867591045,23.79322661098339,24.265793991088866,1.0198614247588988,15.142955023623854,3.9196014404296876e-05,5.8035453024929115e-52
510,15,406.5667533874512,10.0,27.37753601945594,21.281637374676002,0.021253635253212923,0.38921272644154215,27.37753601945594,27.916979694366457,1.0197038796525428,14.850377809694894,4.286766052246094e-05,4.541301383951519e-50
520,15,439.18033905029296,10.0,30.320895172432863,24.164617626825795,0.018279177486686667,0.3199168337337035,30.320895172432863,30.924910187721252,1.0199207514109792,14.484412038388191,5.059242248535156e-05,9.661127853975625e-48
530,15,480.0180156707763,10.0,33.52154728114231,26.3137476074272,0.02089960421395616,0.3333520352097352,33.52154728114231,34.20318527221679,1.0203343236324278,14.319685533752569,5.340576171875e-05,1.0215644325430967e-46
